Word(s),Spoken Form (If Different)
admin
Cisco
Citrix
VPN
DNS
Minecraft
under-documented,under documented
cache,cash
talon,talent
string
tab
model
modeled
tree
code
loop
error
map
body
color,Kohler
input
grid
day
new
alias
lens
parse
parser
files
hover
frames
tex
move,mood
utter
are 8,array
constants,Constance
elm,Alan
